audio_file	sentence
caf_09901_01619988267	L'òpera de Sydney es troba a l'entrada de la badia
caf_08106_00369932539	Com estan les accions d’Abertis
caf_03655_00274707278	A Torregrossa per Festa Major es mengen les orelles
caf_02452_01610578119	Les pel·lícules de Judit Prats destaquen perquè són les que tenen més coreografies
caf_03655_00127445663	A Canyelles hi ha moltes urbanitzacions i una fàbrica pirotècnica
caf_08106_00329119525	L'Aldea és a tocar del Delta de l'Ebre
caf_01591_02055896359	Li agrada molt el club de futbol de Newcastle
caf_09901_01979499266	Shanghai és la ciutat més poblada del món
caf_06042_00274171258	La Seat de Martorell necessita més treballadors qualificats
caf_07803_01459830259	La gent de Viladecans viu a prop de l'autopista
caf_01591_01235098308	L’abril és el primer mes del segon trimestre de l'any natural
caf_06008_01262680955	El 1998 va ser l'any en què es va casar la meva filla
caf_05739_01989993453	Encara no sé si les hamburgueses vénen d'Hamburg
caf_04247_00299667946	Vam comprar un assecador de Taurus fa deu anys i encara funciona
caf_09901_02143620428	Al mar Mort resulta molt fàcil fer-hi el mort
caf_06311_01388643913	L'Ecolab Hispano Portuguesa es troba a Sant Joan Despí
caf_05739_00548830271	Cristóbal Balenciaga va ser un important dissenyador de moda
caf_05739_01830467172	Un préstec de sis mil euros per poder viatjar pel món
caf_09598_01879882911	La meva tieta és una gran fan de La Sirena i ho compra tot d'aquesta marca
caf_01591_00032494640	És un quart i mig de quatre i ja tinc son
caf_06311_01927184501	Em pregunto perquè en diuen Sant Andreu de la Barca si ni és vora el mar ni el Llobregat és navegable
caf_06008_00697735924	Els dispositius d'Apple potser sí que són més estètics que els de Microsoft però també són
caf_06311_00066818249	Calço un quaranta-set però hi ha sabates del quaranta-sis que em van bé
caf_09901_00187787831	Els suburbis de Mogadiscio són cada cop més perillosos
caf_09796_00476268411	Quan t'hi vas a Navàs
caf_07245_01995642413	El seu llinatge va salvar l'actriu Cayetana Cuervo de l'ostracisme
caf_04247_00435390718	Matadepera és el poble més ric del món
caf_04247_01659718932	Irene Rigau és mestra
caf_08001_00416647409	Molts estudis d'enginyeria utilitzen llibres de l'editorial Borràs Educació
caf_01591_01265244927	El Carles Puyol és nascut al Pallars Jussà
caf_03655_00657427760	Aquelles galetes tan bones duen el logotip de Nabisco
caf_09204_02107009823	La llegenda negra diu que Marilyn Manson es va fer treure dues costelles
caf_09901_00980095048	Els de Castellar Vidre reciclen totes les ampolles de vidre del Vallès
caf_09204_01137300851	Els Backstreet Boys van ser pioners en la música dirigida a adolescents
caf_08106_00053486754	En Pau Gasol va fer cent punts en un partit
caf_04247_01029048725	Francesc Pelagi Briz escriptor del segle dinou és una de les referències de la Renaixença catalana
caf_06042_01300495268	Taiwan és una de les províncies més poblades de la Xina
caf_05739_01352347535	El meu amic Pau ven productes d'ortodòncia Proclínic
caf_08001_02039573328	La Fundació Jaume Bofill es preocupa molt pels reptes de futur que planteja l'ensenyament
caf_09204_01447247747	No m'acaba d'agradar la nova cançó de Chenoa
caf_07245_00661758947	Les cançons de Manel tenen un so especial
caf_09204_00760705005	Grace Kelly fou princesa de Mònaco
caf_09598_01656537256	Al circuit de Jerez s'hi fan curses de motos
caf_07803_00321900918	Vaig descobrir Emma Vilarasau a Nissaga de Poder
caf_01591_01688844107	Gerblé té unes galetes sense gluten molt bones
caf_07803_01827245785	El seu somni era poder sortir de Botswana i viatjar arreu del món
caf_09901_01552738065	Albert Malo Navio ha sigut un dels millors esportistes catalans de rugbi
caf_07245_01805283454	Clara Segura ha fet cinema i televisió
caf_09598_00350686421	La Cerdanya és una comarca bellíssima repartida entre dos estats
caf_06008_00667781910	Per què has comprat accions de Mercedes-Benz
caf_06008_00514340908	La Terra Alta també és coneguda per la famosa sèrie de televisió
caf_08001_01757395842	Els portàtils d'Acer solen ser els més barats
caf_02452_00596496826	Andy Murray és un campió escocès de tennis
caf_06311_01218707661	Els canals de Venècia fan pudor
caf_08106_01785420744	Construcciones Rubau SA s'ha emportat el concurs per construir el mur de Barcelona
caf_06311_00259743237	Per pujar a l'Aconcagua cal estar en forma
caf_06311_00105919616	Francisco González Ledesma amb el pseudònim de Silver Kane va escriure novel·la policíaca
caf_02452_00786599763	Els Pets fan un pop que entra fàcilment
caf_03944_01075028398	L'últim dia d'octubre celebrem la castanyada
caf_09901_02070924282	A La Maquinista pots trobar tot el material necessari per a practicar esports aquàtics
caf_09796_00931758369	Només fa falta que vinguin els directius de Golia
caf_08106_00156535453	Anirà amb l'Anna a comprar-se un vestit
caf_04247_01034449269	És un deure que tinc pendent llegir algun llibre d'Alegria Julià escriptora de literatura infantil i juvenil
caf_07803_00087260106	Els sous a General Labu han augmentat considerablement
caf_06942_01008779435	Edimburg és una ciutat fantasmagòrica
caf_09598_01557853101	Crec que a Almenar hi ha una biblioteca
caf_06942_00553877504	Russell Crowe va néixer a Nova Zelanda
caf_03944_00699148680	Hi ha atemptats terroristes diàriament a Kabul
caf_05739_00572132252	L'esposa del Salvador Dalí es deia Gal·la
caf_09598_02054211829	A Santa Bàrbara quan trona ningú s'espanta la santa els protegeix
caf_07245_02095587141	Naomi Watts no és de les que fan qualsevol paper
caf_05450_01522943968	Hi ha una novel·la molt divertida que explica el projecte boig de pescar salmons al Iemen
caf_05450_01319664267	La ballarina Mireia Belmonte s'apunta una nova medalla al seu palmarès
caf_08001_00775879141	Recordo Francesc Ferrer i Gironés amb la seva pipa parlant de la catalanofòbia
caf_05450_01026840897	Quan veig una bossa Tous sempre penso que és d'imitació
caf_09204_02145726299	Ningú no sap qui és Adriana Lima
caf_08106_01819824613	Vam anar amb tota la família a Port Aventura
caf_02452_01465927361	Armstrong va guanyar el Tour de França set cops consecutius
caf_02452_00764610498	Radiohead van tocar a l'últim Primavera Sound
caf_06008_01549545996	El Gerard tocava la bateria i ho feia bastant bé
caf_05450_00711220078	Els nens surten de l'escola a un quart i mig de cinc
caf_06942_00275353067	Es va presentar al concurs cantant una cançó de Sting
caf_09901_00616991715	Iberia és una bona companyia per els vols transatlàntics
caf_02452_00687620746	Els Bee Gees tenen unes cançons que ja són clàssics de la música contemporània
caf_09796_01736196916	Salvador Gabarró és un empresari català amb molt de poder
caf_06042_01965022394	Als de Palau-solità i Plegamans a l'estiu els agrada plegar aviat de la feina
caf_09204_02136449792	Als Estats Units hi deu haver milers de persones amb el nom Sam Smith
caf_02452_00540544353	M'agrada molt el paper de Matt Damon a la pel·lícula L’enginyós senyor Ripley
caf_01591_02084968507	Molta gent de Reus se'n va a viure a Castellvell del Camp
caf_06042_01699637421	Tan bon punt va sortir de la botiga de Menjar Lleuger ja se sentia més guapo
caf_09598_00911503444	Núria Feliu llegeix La Vanguardia al videoclip de la cançó Paraules
caf_05147_00398781462	No estic segur si David Checa és el germà de Carles Checa
caf_06311_00526423362	Vaig comprar una baieta Vileda per rentar l'apartament
caf_03944_01389703705	Esplugues del Llobregat és a l'àrea metropolitana de Barcelona
caf_06311_01901549401	Les accions de Carburants Axoil han pujat més d'un cinquanta per cent
caf_05739_01326141253	La Festa Major de Sant Fost de Campsentelles es celebra a l'estiu
caf_03655_00943413445	Sant Hipòlit de Voltregà era famós no sé si encara ho és pel seu equip d'hoquei sobre patins
caf_09598_01055896941	El concessionari de Volkswagen Audi és tancat els diumenges
caf_05147_01570301226	Boomerang va ser un número u del grup Manel durant setmanes
caf_07245_00422819888	Kate Beckinsale és una actriu anglesa que va sortir a Pearl Harbour
caf_09901_01667929436	A la Ribera d'Ebre no hi ha costa
caf_03655_00576518318	Busco entrar de pràctiques a IBM
caf_04247_00874641511	Josep Vicenç Foix ens deixà la seva poesia i la pastisseria més famosa de Sarrià
caf_03944_01867443919	Va haver de fugir de Manila per problemes de seguretat
caf_08106_00932969078	M'agrada molt el vestit de les hostesses d’Iberia
caf_07245_00855600114	Què ha fet Francesc Orella a més de Merlí
caf_06008_01773365780	Antonio Orozco és un cantant i compositor català amb més de mig milió de còpies venudes arreu de l'Estat
caf_09204_01993677048	La veu greu de Jordi Boixaderas és agradable d'escoltar
caf_04247_00349036878	Fernando Guillén Cuervo no és tan famós com la seva germana Cayetana
caf_06008_00998080968	A les dotze del migdia surt de l'escola
caf_05739_02093559318	Potser t'interessen els ordinadors de Lenovo
caf_07245_00748468194	Somiatruites és una banda masculina de pop català
caf_06942_00691808624	Ana Pereira és una rapera compositora i model australiana
caf_05739_00439989226	A vegades Yahoo dóna millors respostes que Google
caf_02452_01154917134	Marc Márquez va guanyar la cinquena cursa consecutiva al Circuit de Montmeló
caf_07245_00290176515	No tothom sap que Emma Watson es va graduar en Història a la Universitat de Brown
caf_07803_00285027665	Tinc el nou disc del malagueny Pablo Alborán
caf_06042_01857121428	No conec a ningú que jugui a La resistència
caf_06311_01137880742	La fàbrica Danone de Barcelona fa uns iogurts boníssims
caf_09901_01333666142	Kia motors ha millorat molt la qualitat dels seus cotxes
caf_06042_00109748037	Vigila si llegeixes massa La Vanguardia et pots tornar com ells
caf_01591_01010851779	Em van cancel·lar el vol a Nova Delhi
caf_09598_01043071328	Tota la família ha quedat per celebrar el setè aniversari del Teo
caf_05450_01200350978	Pots comprar articles per a la llar a preus reduïts a Privàlia
caf_04247_01555652335	L'equip del meu poble juga contra el Sant Gregori la final de tercera regional
caf_06942_00263966201	Chris Evans és un actor estatunidenc conegut per participar en Els quatre fantàstics
caf_07803_01345202714	Els de Sabadell tenen un centre comercial
caf_09901_01683665294	El Parc Nacional de Banff és tan gran que necessites una setmana per veure'l tot
